"Page","URL_full","og.title","Pageviews","Unique.Pageviews","Avg..Time.on.Page","Entrances","Bounce.Rate","X..Exit","Page.Value","Meta","pub_time"
"39","/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect","http://americamagazine.org/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect",NA,"1,979","1,854","0:05:57","1,529","68.16%","82.06%","$0.00","‘Killing is not caring’: California's assisted suicide law goes into effect","2016-06-09T09:18:37-04:00"
"40","/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj","http://americamagazine.org/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj",NA,"1,978","1,771","0:08:15","1,267","59.38%","74.32%","$0.00","Pope Francis and the theology of failure: Q&A with John Navone, S.J.","2016-06-15T08:45:00-04:00"
"41","/archives/2016","http://americamagazine.org/archives/2016",NA,"1,952","1,225","0:00:14","46","36.17%","6.71%","$0.00","Archives: 2016",NA
"42","/things","http://americamagazine.org/things",NA,"1,920","1,507","0:00:59","839","57.83%","38.28%","$0.00","In All Things",NA
"43","/issue/636/article/what-divides-orthodox-and-catholics","http://americamagazine.org/issue/636/article/what-divides-orthodox-and-catholics",NA,"1,899","1,814","0:08:39","1,814","92.95%","94.84%","$0.00","What Divides Orthodox and Catholics?","2007-12-03T00:00:00-05:00"
"44","/sections/pope-francis-homilies","http://americamagazine.org/sections/pope-francis-homilies",NA,"1,855","1,455","0:01:03","1,250","67.76%","59.25%","$0.00","Pope Francis Homilies",NA
"45","/content/all-things/white-crime-campus-and-white-collar-crime","http://americamagazine.org/content/all-things/white-crime-campus-and-white-collar-crime",NA,"1,760","1,605","0:05:28","1,110","75.96%","70.68%","$0.00","Brock Turner, white crime on campus and white collar crime","2016-06-11T04:13:44-04:00"
"46","/content/the-word/christian-freedom","http://americamagazine.org/content/the-word/christian-freedom",NA,"1,755","1,547","0:02:27","732","84.58%","58.01%","$0.00",NA,"2016-06-09T11:04:28-04:00"
"47","/content/dispatches/pope-francis-comments-brexit-and-colombian-peace-accord","http://americamagazine.org/content/dispatches/pope-francis-comments-brexit-and-colombian-peace-accord",NA,"1,703","1,659","0:02:48","1,551","92.27%","91.25%","$0.00","Pope Francis reacts to Brexit vote","2016-06-24T09:09:22-04:00"
"48","/issue/abolitionist","http://americamagazine.org/issue/abolitionist",NA,"1,691","1,596","0:03:20","1,466","89.57%","86.64%","$0.00","Pope Francis' case against the death penalty","2016-06-23T13:20:31-04:00"
"49","/content/the-word/welcome-sinners","http://americamagazine.org/content/the-word/welcome-sinners",NA,"1,671","1,522","0:02:33","785","84.37%","64.39%","$0.00",NA,"2016-05-25T16:28:05-04:00"
"50","/opinion","http://americamagazine.org/opinion",NA,"1,651","1,449","0:03:19","669","78.29%","47.61%","$0.00","Opinion",NA
"51","/content/all-things/tridentine-mass-why-i-couldnt-go-back","http://americamagazine.org/content/all-things/tridentine-mass-why-i-couldnt-go-back",NA,"1,640","1,505","0:05:25","1,497","87.26%","89.21%","$0.00","The Tridentine Mass: Why I Couldn't Go Back","2012-03-08T13:04:53-05:00"
"52","/issue/feminist-case-against-abortion","http://americamagazine.org/issue/feminist-case-against-abortion",NA,"1,540","1,426","0:08:08","1,418","91.54%","91.69%","$0.00","The Feminist Case Against Abortion","2015-01-07T10:11:09-05:00"
"53","/content/dispatches/call-national-jesuit-campaign-gun-control","http://americamagazine.org/content/dispatches/call-national-jesuit-campaign-gun-control",NA,"1,521","1,349","0:05:12","890","75.64%","69.89%","$0.00","Calling all Jesuits: Time for a national campaign for gun control?","2016-06-15T18:47:46-04:00"
"54","/issue/kansas-city-bishop-apologizes-betrayal-sexual-abuse","http://americamagazine.org/issue/kansas-city-bishop-apologizes-betrayal-sexual-abuse",NA,"1,499","1,394","0:08:54","1,368","80.38%","90.46%","$0.00","Catholic bishop apologizes for 'betrayal' of sexual abuse","2016-06-27T15:37:17-04:00"
"55","/issue/all-they-have-each-other","http://americamagazine.org/issue/all-they-have-each-other",NA,"1,475","1,403","0:07:41","1,390","90.80%","94.17%","$0.00","The horror of 'Room' is closer to a documentary than a fantasy.","2015-11-23T11:26:32-05:00"
"56","/sections/vatican-dispatch","http://americamagazine.org/sections/vatican-dispatch",NA,"1,383","1,166","0:01:13","1,059","74.03%","68.26%","$0.00","Vatican Dispatch",NA
"57","/content/the-word/primary-identity","http://americamagazine.org/content/the-word/primary-identity",NA,"1,359","1,235","0:02:34","605","90.74%","64.16%","$0.00",NA,"2016-05-25T16:28:05-04:00"
"58","/content/all-things/god-loves-cleveland","http://americamagazine.org/content/all-things/god-loves-cleveland",NA,"1,355","1,210","0:06:18","1,013","51.02%","75.57%","$0.00","It turns out God loves Cleveland after all.","2016-06-20T13:00:49-04:00"
"59","/media/podcasts/churchs-response-orlando","http://americamagazine.org/media/podcasts/churchs-response-orlando",NA,"1,353","1,204","0:04:02","709","78.93%","63.64%","$0.00","The Church's Response to Orlando","2016-06-16T12:24:13-04:00"
"60","/sections/word","http://americamagazine.org/sections/word",NA,"1,337","986","0:00:35","226","22.12%","13.24%","$0.00","The Word",NA
