Page,URL,og:title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/issue/all-they-have-each-other,http://americamagazine.org/issue/all-they-have-each-other,,"1,475","1,403",0:07:41,"1,390",90.80%,94.17%,$0.00
/sections/vatican-dispatch,http://americamagazine.org/sections/vatican-dispatch,,"1,383","1,166",0:01:13,"1,059",74.03%,68.26%,$0.00
/content/the-word/primary-identity,http://americamagazine.org/content/the-word/primary-identity,,"1,359","1,235",0:02:34,605,90.74%,64.16%,$0.00
/content/all-things/god-loves-cleveland,http://americamagazine.org/content/all-things/god-loves-cleveland,,"1,355","1,210",0:06:18,"1,013",51.02%,75.57%,$0.00
/media/podcasts/churchs-response-orlando,http://americamagazine.org/media/podcasts/churchs-response-orlando,,"1,353","1,204",0:04:02,709,78.93%,63.64%,$0.00
/sections/word,http://americamagazine.org/sections/word,,"1,337",986,0:00:35,226,22.12%,13.24%,$0.00
/content/all-things/life-times-st-aloysius-gonzaga,http://americamagazine.org/content/all-things/life-times-st-aloysius-gonzaga,,"1,308","1,185",0:09:40,"1,176",86.46%,88.53%,$0.00
/issue/holy-see-deplores-absurd-violence-after-orlando-rampage,http://americamagazine.org/issue/holy-see-deplores-absurd-violence-after-orlando-rampage,,"1,304","1,217",0:03:36,757,83.97%,74.23%,$0.00
/issue/means-ends-and-embryos,http://americamagazine.org/issue/means-ends-and-embryos,,"1,271","1,178",0:04:28,653,73.89%,60.58%,$0.00
/culture,http://americamagazine.org/culture,,"1,268","1,139",0:03:54,666,80.03%,56.78%,$0.00
/issue/right-roam,http://americamagazine.org/issue/right-roam,,"1,241","1,188",0:03:15,"1,020",92.07%,84.93%,$0.00
/content/dispatches/pope-francis-prays-national-memorial-victims-armenian-genocide,http://americamagazine.org/content/dispatches/pope-francis-prays-national-memorial-victims-armenian-genocide,,"1,217","1,138",0:03:38,"1,055",84.83%,85.13%,$0.00
/content/all-things/sins-world,http://americamagazine.org/content/all-things/sins-world,,"1,189","1,133",0:04:38,912,87.19%,79.14%,$0.00
